Region,Country,Date,Measure,Value,New,Population
All,Germany,2021-02-18,Cases,2372032,9256,83166711
All,Germany,2021-02-19,Cases,2380770,8738,83166711
All,Germany,2021-02-20,Cases,2388562,7792,83166711
All,Germany,2021-02-21,Cases,2391606,3044,83166711
All,Germany,2021-02-22,Cases,2396010,4404,83166711
All,Germany,2021-02-23,Cases,2406228,10218,83166711
All,Germany,2021-02-24,Cases,2417552,11324,83166711
All,Germany,2021-02-25,Cases,2427496,9944,83166711
All,Germany,2021-02-26,Cases,2436957,9461,83166711
All,Germany,2021-02-27,Cases,2444629,7672,83166711
All,Germany,2021-02-28,Cases,2448094,3465,83166711
All,Germany,2021-03-01,Cases,2452800,4706,83166711
All,Germany,2021-03-02,Cases,2463776,10976,83166711
All,Germany,2021-03-03,Cases,2475100,11324,83166711
All,Germany,2021-03-04,Cases,2485234,10134,83166711
All,Germany,2021-03-05,Cases,2494918,9684,83166711
All,Germany,2021-03-06,Cases,2503230,8312,83166711
All,Germany,2021-03-07,Cases,2506604,3374,83166711
All,Germany,2021-03-08,Cases,2511452,4848,83166711
All,Germany,2021-03-09,Cases,2522976,11524,83166711
All,Germany,2021-03-10,Cases,2536994,14018,83166711
All,Germany,2021-03-11,Cases,2550148,13154,83166711
All,Germany,2021-03-12,Cases,2562695,12547,83166711
All,Germany,2021-03-13,Cases,2573198,10503,83166711
All,Germany,2021-03-14,Cases,2578072,4874,83166711
All,Germany,2021-03-15,Cases,2584896,6824,83166711
All,Germany,2021-03-16,Cases,2600723,15827,83166711
All,Germany,2021-03-17,Cases,2619146,18423,83166711
All,Germany,2021-03-18,Cases,2635929,16783,83166711
All,Germany,2021-03-19,Cases,2651660,15731,83166711
All,Germany,2021-03-20,Cases,2664906,13246,83166711
All,Germany,2021-03-21,Cases,2670889,5983,83166711
All,Germany,2021-03-22,Cases,2679831,8942,83166711
All,Germany,2021-03-23,Cases,2699373,19542,83166711
All,Germany,2021-03-24,Cases,2722100,22727,83166711
All,Germany,2021-03-25,Cases,2744080,21980,83166711
All,Germany,2021-03-26,Cases,2764163,20083,83166711
All,Germany,2021-03-27,Cases,2779940,15777,83166711
All,Germany,2021-03-28,Cases,2787562,7622,83166711
All,Germany,2021-03-29,Cases,2798600,11038,83166711
All,Germany,2021-03-30,Cases,2819029,20429,83166711
All,Germany,2021-03-31,Cases,2843119,24090,83166711
All,Germany,2021-04-01,Cases,2864593,21474,83166711
All,Germany,2021-04-02,Cases,2880141,15548,83166711
All,Germany,2021-04-03,Cases,2890817,10676,83166711
All,Germany,2021-04-04,Cases,2898011,7194,83166711
All,Germany,2021-04-05,Cases,2905096,7085,83166711
All,Germany,2021-04-06,Cases,2916594,11498,83166711
All,Germany,2021-04-07,Cases,2940280,23686,83166711
All,Germany,2021-04-08,Cases,2966026,25746,83166711
All,Germany,2021-04-09,Cases,2989286,23260,83166711
All,Germany,2021-04-10,Cases,3007311,18025,83166711
All,Germany,2021-04-11,Cases,3016144,8833,83166711
All,Germany,2021-04-12,Cases,3027772,11628,83166711
All,Germany,2021-04-13,Cases,3053142,25370,83166711
All,Germany,2021-04-14,Cases,3073442,20300,83166711
All,Germany,2020-02-20,Deaths,1,NA,83166711
All,Germany,2020-02-21,Deaths,1,0,83166711
All,Germany,2020-02-22,Deaths,1,0,83166711
All,Germany,2020-02-23,Deaths,1,0,83166711
All,Germany,2020-02-24,Deaths,1,0,83166711
All,Germany,2020-02-25,Deaths,1,0,83166711
All,Germany,2020-02-26,Deaths,1,0,83166711
All,Germany,2020-02-27,Deaths,1,0,83166711
All,Germany,2020-02-28,Deaths,1,0,83166711
All,Germany,2020-02-29,Deaths,1,0,83166711
All,Germany,2020-03-01,Deaths,1,0,83166711
All,Germany,2020-03-02,Deaths,1,0,83166711
All,Germany,2020-03-03,Deaths,1,0,83166711
All,Germany,2020-03-04,Deaths,3,2,83166711
All,Germany,2020-03-05,Deaths,4,1,83166711
All,Germany,2020-03-06,Deaths,8,4,83166711
All,Germany,2020-03-07,Deaths,12,4,83166711
All,Germany,2020-03-08,Deaths,13,1,83166711
All,Germany,2020-03-09,Deaths,20,7,83166711
All,Germany,2020-03-10,Deaths,24,4,83166711
All,Germany,2020-03-11,Deaths,34,10,83166711
All,Germany,2020-03-12,Deaths,47,13,83166711
All,Germany,2020-03-13,Deaths,63,16,83166711
All,Germany,2020-03-14,Deaths,83,20,83166711
All,Germany,2020-03-15,Deaths,98,15,83166711
All,Germany,2020-03-16,Deaths,133,35,83166711
All,Germany,2020-03-17,Deaths,178,45,83166711
All,Germany,2020-03-18,Deaths,242,64,83166711
All,Germany,2020-03-19,Deaths,308,66,83166711
All,Germany,2020-03-20,Deaths,403,95,83166711
All,Germany,2020-03-21,Deaths,498,95,83166711
All,Germany,2020-03-22,Deaths,576,78,83166711
All,Germany,2020-03-23,Deaths,708,132,83166711
All,Germany,2020-03-24,Deaths,876,168,83166711
All,Germany,2020-03-25,Deaths,1093,217,83166711
All,Germany,2020-03-26,Deaths,1359,266,83166711
All,Germany,2020-03-27,Deaths,1626,267,83166711
All,Germany,2020-03-28,Deaths,1875,249,83166711
All,Germany,2020-03-29,Deaths,2041,166,83166711
All,Germany,2020-03-30,Deaths,2307,266,83166711
All,Germany,2020-03-31,Deaths,2685,378,83166711
All,Germany,2020-04-01,Deaths,3065,380,83166711
All,Germany,2020-04-02,Deaths,3480,415,83166711
All,Germany,2020-04-03,Deaths,3875,395,83166711
All,Germany,2020-04-04,Deaths,4119,244,83166711
All,Germany,2020-04-05,Deaths,4301,182,83166711
All,Germany,2020-04-06,Deaths,4594,293,83166711
All,Germany,2020-04-07,Deaths,4934,340,83166711
All,Germany,2020-04-08,Deaths,5276,342,83166711
All,Germany,2020-04-09,Deaths,5602,326,83166711
All,Germany,2020-04-10,Deaths,5810,208,83166711
All,Germany,2020-04-11,Deaths,6012,202,83166711
All,Germany,2020-04-12,Deaths,6180,168,83166711
All,Germany,2020-04-13,Deaths,6343,163,83166711
All,Germany,2020-04-14,Deaths,6562,219,83166711
All,Germany,2020-04-15,Deaths,6791,229,83166711
